ligand_id,file,target_id,energy,reproduced,max RMSD,redocked,norm_score,HBAcceptor,Hydrophobic,HBDonor
5FAKB48,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/5FAKB48/2am9_5FAKB48_0_replicate1.sdf,2am9,-7.128,Yes,3.604550104229233e-07,Not in structure,65.11,['A:83:HH11'],"['A:42', 'A:80', 'A:75', 'A:82', 'A:76', 'A:12', 'A:83', 'A:46', 'A:95', 'A:49', 'A:13', 'A:87', 'A:79', 'A:14', 'A:77', 'A:135', 'A:139']",
CBD,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/CBD/2am9_CBD_0_replicate1.sdf,2am9,-6.669,Yes,6.888533768793251e-07,Not in structure,60.92,,"['A:42', 'A:49', 'A:13', 'A:75', 'A:87', 'A:82', 'A:79', 'A:12', 'A:83', 'A:14', 'A:15', 'A:139', 'A:46', 'A:94']",
CBN,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/CBN/2am9_CBN_0_replicate1.sdf,2am9,-7.168,Yes,7.954193651469222e-07,Not in structure,65.47,,"['A:42', 'A:75', 'A:82', 'A:12', 'A:83', 'A:15', 'A:46', 'A:94', 'A:16', 'A:49', 'A:13', 'A:87', 'A:79', 'A:14', 'A:135', 'A:139']",
DHT,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/DHT/2am9_DHT_1_replicate1.sdf,2am9,-10.948,Yes,5.75087250857856e-07,Not in structure,100.0,['A:83:HH21'],"['A:42', 'A:80', 'A:226', 'A:72', 'A:76', 'A:83', 'A:208', 'A:118', 'A:111', 'A:95', 'A:204', 'A:38', 'A:32', 'A:73', 'A:77', 'A:36', 'A:39', 'A:207', 'A:35']",['A:208:OG1']
DTHC,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/DTHC/2am9_DTHC_2_replicate1.sdf,2am9,-6.31,Yes,5.624464269824872e-07,Not in structure,57.64,,"['A:36', 'A:211', 'A:72', 'A:80', 'A:111', 'A:83', 'A:77', 'A:95', 'A:204', 'A:35', 'A:222', 'A:38', 'A:208', 'A:42', 'A:207', 'A:76', 'A:39', 'A:118', 'A:73', 'A:32', 'A:226']",
LTHC,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/LTHC/2am9_LTHC_1_replicate1.sdf,2am9,-6.307,Yes,5.624464269824872e-07,Not in structure,57.61,,"['A:83', 'A:208', 'A:76', 'A:77', 'A:80', 'A:111', 'A:32', 'A:118', 'A:35', 'A:73', 'A:95', 'A:36', 'A:222', 'A:226', 'A:39', 'A:204', 'A:211', 'A:42', 'A:38', 'A:72', 'A:207']",
R1881,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/R1881/2am9_R1881_0_replicate1.sdf,2am9,-10.015,Yes,2.9431028358858473e-07,Not in structure,91.48,['A:83:HH21'],"['A:208', 'A:32', 'A:83', 'A:111', 'A:36', 'A:73', 'A:207', 'A:77', 'A:39', 'A:72', 'A:80', 'A:118', 'A:38', 'A:95', 'A:204', 'A:226', 'A:42', 'A:35', 'A:76']",
RBICALUTAMIDE,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/RBICALUTAMIDE/2am9_RBICALUTAMIDE_0_replicate1.sdf,2am9,-6.254,Yes,7.919834123014447e-07,Not in structure,57.12,['A:83:HH21'],"['A:207', 'A:73', 'A:35', 'A:118', 'A:208', 'A:76', 'A:204', 'A:80', 'A:111', 'A:83', 'A:42', 'A:39', 'A:36', 'A:72', 'A:230', 'A:38', 'A:226', 'A:77', 'A:95']",
Testosterone,/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 1/Testosterone/2am9_Testosterone_0_replicate1.sdf,2am9,-10.606,Yes,6.580978005813162e-07,Yes,96.88,,"['A:42', 'A:80', 'A:226', 'A:72', 'A:76', 'A:83', 'A:208', 'A:118', 'A:111', 'A:95', 'A:204', 'A:38', 'A:32', 'A:73', 'A:77', 'A:36', 'A:39', 'A:207', 'A:35']",['A:208:OG1']
