ligand_id,target_id,energy (kcal/mol),temperature (Celsius),Ki (microM),Ligand Eff,file,energy,reproduced,max RMSD,redocked,norm_score,Hydrophobic,HBAcceptor
CBD,1z95,-6.993,37,11.72562,0.30404,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/CBD/1z95_CBD_0_replicate1.sdf,-6.993,Yes,0.0,Not in structure,67.02,"['A:711', 'A:874', 'A:898', 'A:742', 'A:738', 'A:873', 'A:741', 'A:903', 'A:764', 'A:704', 'A:705', 'A:895', 'A:701', 'A:899', 'A:707', 'A:876', 'A:780', 'A:745', 'A:877', 'A:708']",
CBN,1z95,-7.166,37,8.85423,0.31157,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/CBN/1z95_CBN_0_replicate1.sdf,-7.166,Yes,6.888533768793251e-07,Not in structure,68.68,"['A:891', 'A:711', 'A:787', 'A:742', 'A:873', 'A:749', 'A:764', 'A:704', 'A:705', 'A:895', 'A:701', 'A:899', 'A:707', 'A:746', 'A:752', 'A:876', 'A:780', 'A:745', 'A:877', 'A:708']",
DHT,1z95,-7.48,37,5.31796,0.34,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/DHT/1z95_DHT_0_replicate1.sdf,-7.48,Yes,0.0,Not in structure,71.69,"['A:749', 'A:742', 'A:873', 'A:877', 'A:764', 'A:704', 'A:705', 'A:899', 'A:708', 'A:895', 'A:745', 'A:746', 'A:891', 'A:787']",
DTHC,1z95,-7.602,37,4.36236,0.33052,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/DTHC/1z95_DTHC_0_replicate1.sdf,-7.602,Yes,0.0,Not in structure,72.86,"['A:787', 'A:874', 'A:898', 'A:742', 'A:873', 'A:741', 'A:903', 'A:764', 'A:704', 'A:705', 'A:895', 'A:701', 'A:899', 'A:746', 'A:876', 'A:780', 'A:745', 'A:877', 'A:708']",
LTHC,1z95,-7.594,37,4.41939,0.33017,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/LTHC/1z95_LTHC_0_replicate1.sdf,-7.594,Yes,3.977096825734611e-07,Not in structure,72.78,"['A:745', 'A:746', 'A:876', 'A:742', 'A:780', 'A:705', 'A:704', 'A:903', 'A:898', 'A:787', 'A:701', 'A:708', 'A:877', 'A:764', 'A:873', 'A:741', 'A:899', 'A:895', 'A:874']",
MDMBCHMINACA,1z95,-8.673,37,0.76656,0.30975,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate1.sdf,-8.673,Yes,8.829308507657541e-07,Not in structure,83.12,"['A:787', 'A:880', 'A:707', 'A:705', 'A:876', 'A:741', 'A:746', 'A:745', 'A:749', 'A:711', 'A:701', 'A:891', 'A:708', 'A:873', 'A:895', 'A:898', 'A:764', 'A:742', 'A:874', 'A:877', 'A:704', 'A:780', 'A:903', 'A:899']",
R1881,1z95,-9.532,37,0.19004,0.4539,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/R1881/1z95_R1881_2_replicate1.sdf,-9.532,Yes,0.0,Not in structure,91.36,"['A:711', 'A:787', 'A:742', 'A:873', 'A:749', 'A:764', 'A:704', 'A:705', 'A:701', 'A:707', 'A:746', 'A:752', 'A:876', 'A:780', 'A:745', 'A:877']","['A:752:HH22', 'A:711:HE22']"
RBICALUTAMIDE,1z95,-10.434,37,0.04394,0.35979,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate1.sdf,-10.434,Yes,7.083714987833094e-07,Yes,100.0,"['A:742', 'A:877', 'A:903', 'A:898', 'A:704', 'A:705', 'A:895', 'A:874', 'A:749', 'A:899', 'A:745', 'A:752', 'A:707', 'A:711', 'A:873', 'A:746', 'A:741', 'A:764', 'A:738', 'A:708', 'A:701', 'A:787']",['A:752:HH22']
Testosterone,1z95,-7.42,37,5.86208,0.35333,/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 1/Testosterone/1z95_Testosterone_6_replicate1.sdf,-7.42,Yes,5.886205671771695e-07,Not in structure,71.11,"['A:787', 'A:746', 'A:764', 'A:895', 'A:742', 'A:708', 'A:877', 'A:745', 'A:704', 'A:873', 'A:705', 'A:749', 'A:780']",
